DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人社団三愛会三船病院,香川県,令和4年度出来高算定病院,0.0,328.0,未結合,,,,
あしかがの森足利病院,栃木県,令和4年度出来高算定病院,0.0,195.0,完全一致,1.0,あしかがの森足利病院,,
医療法人山崎会サンピエール病院,群馬県,令和4年度出来高算定病院,57.0,522.0,完全一致,1.0,医療法人山崎会サンピエール病院,,
群馬病院,群馬県,令和4年度出来高算定病院,0.0,461.0,未結合,,,,
浦和神経サナトリウム,埼玉県,令和4年度出来高算定病院,0.0,257.0,未結合,,,,
医療法人誠至会狭山厚生病院,埼玉県,令和4年度出来高算定病院,0.0,42.0,サフィックス一致,0.9,狭山厚生病院,,
医療法人白百合会幕張病院,千葉県,令和4年度出来高算定病院,0.0,206.0,完全一致,1.0,医療法人白百合会幕張病院,,
公立下蒲刈病院,広島県,令和4年度出来高算定病院,21.0,49.0,完全一致,1.0,公立下蒲刈病院,,
医療法人精華園海辺の杜ホスピタル,高知県,令和4年度出来高算定病院,0.0,236.0,未結合,,,,
医療法人社団敬智会梶原病院,東京都,令和4年度出来高算定病院,16.0,47.0,完全一致,1.0,医療法人社団敬智会 梶原病院,,
医療法人財団同潤会富士見病院,東京都,令和4年度出来高算定病院,18.0,48.0,完全一致,1.0,医療法人財団同潤会 富士見病院,,
心身障害児総合医療療育センター,東京都,令和4年度出来高算定病院,0.0,251.0,完全一致,1.0,心身障害児総合医療療育センター,,
医療法人社団慈誠会慈誠会・練馬高野台病院,東京都,令和4年度出来高算定病院,0.0,218.0,完全一致,1.0,医療法人社団慈誠会　慈誠会・練馬高野台病院,,
医療法人社団福寿会慈英会病院,東京都,令和4年度出来高算定病院,0.0,48.0,完全一致,1.0,医療法人社団福寿会 慈英会病院,,
横浜町田関節脊椎病院,東京都,令和4年度出来高算定病院,42.0,42.0,完全一致,1.0,横浜町田関節脊椎病院,,
土浦リハビリテーション病院,茨城県,令和4年度出来高算定病院,0.0,42.0,完全一致,1.0,土浦リハビリテーション病院,,
取手中央病院,茨城県,令和4年度出来高算定病院,0.0,60.0,完全一致,1.0,取手中央病院,,
医療法人丹沢病院,神奈川県,令和4年度出来高算定病院,0.0,275.0,未結合,,,,
独立行政法人国立病院機構箱根病院,神奈川県,令和4年度出来高算定病院,0.0,180.0,完全一致,1.0,独立行政法人国立病院機構箱根病院,,
独立行政法人国立病院機構久里浜医療センター,神奈川県,令和4年度出来高算定病院,45.0,225.0,完全一致,1.0,独立行政法人国立病院機構久里浜医療センター,,
独立行政法人国立病院機構さいがた医療センター,新潟県,令和4年度出来高算定病院,0.0,262.0,完全一致,1.0,独立行政法人国立病院機構さいがた医療センター,,
