DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人サヂカム会三国丘病院,大阪府,令和6年度出来高算定病院,0.0,120.0,未結合,,,,
地方独立行政法人長野県立病院機構長野県立阿南病院,長野県,令和7年度出来高算定病院,36.0,52.0,サフィックス一致,0.9,長野県立阿南病院,,
独立行政法人国立病院機構熊本南病院,熊本県,令和7年度出来高算定病院,74.0,172.0,完全一致,1.0,独立行政法人国立病院機構熊本南病院,,
医療法人社団大藏会札幌佐藤病院,北海道,令和6年度出来高算定病院,0.0,244.0,未結合,,,,
竹田綜合病院,福島県,平成16年度DPC参加病院,548.0,727.0,完全一致,1.0,竹田綜合病院,,
山形市立病院済生館,山形県,平成20年度DPC参加病院,528.0,528.0,完全一致,1.0,山形市立病院済生館,,
公立学校共済組合東北中央病院,山形県,平成21年度DPC参加病院,160.0,217.0,完全一致,1.0,公立学校共済組合東北中央病院,,
社会福祉法人恩賜財団済生会山形済生病院,山形県,平成18年度DPC参加病院,306.0,406.0,完全一致,1.0,社会福祉法人恩賜財団済生会 山形済生病院,,
米沢市立病院,山形県,平成21年度DPC参加病院,263.0,263.0,完全一致,1.0,米沢市立病院,,
鶴岡市立荘内病院,山形県,平成20年度DPC参加病院,461.0,461.0,完全一致,1.0,鶴岡市立荘内病院,,
山形県立新庄病院,山形県,平成22年度DPC参加病院,275.0,325.0,完全一致,1.0,山形県立新庄病院,,
山形県立河北病院,山形県,平成21年度DPC参加病院,66.0,116.0,完全一致,1.0,山形県立河北病院,,
公益財団法人ときわ会常磐病院,福島県,令和4年度DPC参加病院,180.0,240.0,完全一致,1.0,公益財団法人ときわ会常磐病院,,
医療法人徳洲会　庄内余目病院,山形県,平成22年度DPC参加病院,160.0,282.0,完全一致,1.0,医療法人徳洲会 庄内余目病院,,
社会医療法人福島厚生会福島第一病院,福島県,令和6年度DPC参加病院,85.0,130.0,サフィックス一致,0.9,福島第一病院,,
あづま脳神経外科病院,福島県,平成20年度DPC参加病院,40.0,168.0,完全一致,1.0,あづま脳神経外科病院,,
一般財団法人　脳神経疾患研究所　附属　南東北福島病院,福島県,平成21年度DPC参加病院,114.0,205.0,完全一致,1.0,一般財団法人脳神経疾患研究所附属南東北福島病院,,
済生会福島総合病院,福島県,平成21年度DPC参加病院,160.0,216.0,完全一致,1.0,済生会福島総合病院,,
一般財団法人大原記念財団　大原綜合病院,福島県,平成21年度DPC参加病院,344.0,344.0,完全一致,1.0,一般財団法人大原記念財団 大原綜合病院,,
福島赤十字病院,福島県,平成21年度DPC参加病院,286.0,286.0,完全一致,1.0,福島赤十字病院,,
水戸赤十字病院,茨城県,平成20年度DPC参加病院,259.0,325.0,完全一致,1.0,水戸赤十字病院,,
会津中央病院,福島県,平成22年度DPC参加病院,572.0,678.0,完全一致,1.0,会津中央病院,,
公立大学法人福島県立医科大学会津医療センター附属病院,福島県,平成21年度DPC参加病院,183.0,215.0,完全一致,1.0,公立大学法人福島県立医科大学会津医療センター附属病院,,
一般財団法人太田綜合病院附属太田西ノ内病院,福島県,平成20年度DPC参加病院,641.0,641.0,完全一致,1.0,一般財団法人太田綜合病院附属太田西ノ内病院,,
公益財団法人　湯浅報恩会寿泉堂綜合病院,福島県,平成20年度DPC参加病院,265.0,265.0,完全一致,1.0,公益財団法人湯浅報恩会寿泉堂綜合病院,,
公益財団法人星総合病院,福島県,平成21年度DPC参加病院,336.0,427.0,完全一致,1.0,公益財団法人星総合病院,,
松村総合病院,福島県,平成26年度DPC参加病院,41.0,199.0,完全一致,1.0,松村総合病院,,
独立行政法人労働者健康安全機構　福島労災病院,福島県,平成21年度DPC参加病院,266.0,336.0,完全一致,1.0,独立行政法人労働者健康安全機構福島労災病院,,
独立行政法人地域医療機能推進機構　仙台南病院,宮城県,平成16年度DPC参加病院,140.0,190.0,完全一致,1.0,独立行政法人地域医療機能推進機構 仙台南病院,,
福島県厚生農業協同組合連合会白河厚生総合病院,福島県,平成21年度DPC参加病院,342.0,342.0,完全一致,1.0,福島県厚生農業協同組合連合会 白河厚生総合病院,,
公立岩瀬病院,福島県,平成21年度DPC参加病院,231.0,279.0,完全一致,1.0,公立岩瀬病院,,
独立行政法人地域医療機能推進機構　二本松病院,福島県,平成16年度DPC参加病院,104.0,160.0,完全一致,1.0,独立行政法人地域医療機能推進機構 二本松病院,,
北福島医療センター,福島県,平成21年度DPC参加病院,120.0,225.0,完全一致,1.0,北福島医療センター,,
公立藤田総合病院,福島県,平成18年度DPC参加病院,247.0,311.0,完全一致,1.0,公立藤田総合病院,,
福島県厚生農業協同組合連合会　坂下厚生総合病院,福島県,令和6年度DPC参加病院,138.0,159.0,完全一致,1.0,福島県厚生農業協同組合連合会坂下厚生総合病院,,
福島県厚生農業協同組合連合会　塙厚生病院,福島県,平成28年度DPC参加病院,105.0,181.0,完全一致,1.0,福島県厚生農業協同組合連合会塙厚生病院,,
独立行政法人国立病院機構沼田病院,群馬県,令和6年度出来高算定病院,55.0,110.0,完全一致,1.0,独立行政法人国立病院機構沼田病院,,
医療法人社団東京せいわ会　おくさわ脳卒中リハビリテーション病院,東京都,令和6年度出来高算定病院,0.0,82.0,完全一致,1.0,医療法人社団東京せいわ会 おくさわ脳卒中リハビリテーション病院,,
よしか病院,島根県,令和6年度出来高算定病院,15.0,50.0,完全一致,1.0,よしか病院,,
医療法人社団鶴友会鶴田病院,熊本県,令和6年度出来高算定病院,10.0,105.0,サフィックス一致,0.9,鶴田病院,,
医療法人社団亮仁会那須中央病院,栃木県,令和6年度出来高算定病院,40.0,169.0,サフィックス一致,0.9,那須中央病院,,
社会福祉法人聖テレジア会総合病院聖ヨゼフ病院,神奈川県,令和6年度出来高算定病院,70.0,182.0,サフィックス一致,0.9,聖ヨゼフ病院,,
社会医療法人垣谷会　明治橋病院,大阪府,令和6年度出来高算定病院,0.0,120.0,完全一致,1.0,社会医療法人垣谷会明治橋病院,,
社会医療法人創和会　重井医学研究所附属病院,岡山県,令和6年度出来高算定病院,0.0,198.0,サフィックス一致,0.9,重井医学研究所附属病院,,
医療法人社団青泉会下北沢病院,東京都,令和6年度出来高算定病院,43.0,53.0,完全一致,1.0,医療法人社団青泉会 下北沢病院,,
医療法人社団五稜会病院,北海道,令和6年度出来高算定病院,0.0,193.0,未結合,,,,
医療法人社団履信会りしん会整形外科病院,北海道,令和6年度出来高算定病院,51.0,51.0,完全一致,1.0,医療法人社団　履信会　りしん会整形外科病院,,
社団医療法人至誠会こうじま慈愛病院,福島県,令和6年度出来高算定病院,30.0,120.0,完全一致,1.0,社団医療法人至誠会こうじま慈愛病院,,
永井ひたちの森病院,茨城県,令和6年度出来高算定病院,0.0,228.0,完全一致,1.0,永井ひたちの森病院,,
みどり病院,群馬県,令和6年度出来高算定病院,0.0,50.0,完全一致,1.0,みどり病院,,
社会福祉法人　恩賜財団　島根県済生会江津総合病院,島根県,令和6年度出来高算定病院,37.0,137.0,サフィックス一致,0.9,島根県済生会江津総合病院,,
帰巖会みえ病院,大分県,令和6年度出来高算定病院,0.0,110.0,完全一致,1.0,帰巖会 みえ病院,,
十慈堂病院,神奈川県,令和6年度出来高算定病院,0.0,29.0,完全一致,1.0,十慈堂病院,,
医療法人産育会堀病院,神奈川県,令和6年度出来高算定病院,68.0,68.0,完全一致,1.0,医療法人産育会 堀病院,,
医療法人社団澄鈴会粟津神経サナトリウム,石川県,令和6年度出来高算定病院,0.0,263.0,未結合,,,,
医療法人社団宗仁会筑後吉井こころホスピタル,福岡県,令和6年度出来高算定病院,0.0,180.0,未結合,,,,
医療法人トウスイ会稲津内科病院,鹿児島県,令和6年度出来高算定病院,0.0,41.0,サフィックス一致,0.9,稲津内科病院,,
社会医療法人中央会尼崎中央リハビリテーション病院,兵庫県,令和6年度出来高算定病院,0.0,93.0,完全一致,1.0,社会医療法人中央会 尼崎中央リハビリテーション病院,,
串間市民病院,宮崎県,令和6年度出来高算定病院,32.0,90.0,完全一致,1.0,串間市民病院,,
独立行政法人国立病院機構長良医療センター,岐阜県,令和6年度出来高算定病院,111.0,327.0,完全一致,1.0,独立行政法人国立病院機構長良医療センター,,
医療法人研成会札幌鈴木病院,北海道,令和6年度出来高算定病院,0.0,163.0,未結合,,,,
医療法人社団図南会あしりべつ病院,北海道,令和6年度出来高算定病院,0.0,316.0,未結合,,,,
北上駅前病院,岩手県,令和6年度出来高算定病院,50.0,80.0,完全一致,1.0,北上駅前病院,,
医療法人菅野愛生会緑ケ丘病院,宮城県,令和6年度出来高算定病院,0.0,291.0,未結合,,,,
医療法人香風会岩上記念病院,茨城県,令和6年度出来高算定病院,0.0,24.0,未結合,,,,
大平下病院,栃木県,令和6年度出来高算定病院,0.0,94.0,未結合,,,,
医療法人白百合会市原鶴岡病院,千葉県,令和6年度出来高算定病院,0.0,205.0,未結合,,,,
鋸南町国民健康保険鋸南病院,千葉県,令和6年度出来高算定病院,0.0,66.0,完全一致,1.0,鋸南町国民健康保険鋸南病院,,
バルツァ・ゴーデル,奈良県,令和5年度出来高算定病院,0.0,70.0,未結合,,,,
社会福祉法人和歌山つくし会つくし医療・福祉センター,和歌山県,令和5年度出来高算定病院,0.0,136.0,サフィックス一致,0.9,つくし医療・福祉センター,,
一般財団法人志清会岡山紀念病院,岡山県,令和5年度出来高算定病院,40.0,40.0,サフィックス一致,0.9,岡山紀念病院,,
マオカ病院,香川県,令和5年度出来高算定病院,29.0,58.0,サフィックス一致,0.9,医療法人社団弘徳会マオカ病院,,
きら病院,愛媛県,令和5年度出来高算定病院,30.0,30.0,完全一致,1.0,きら病院,,
栗整形外科病院,愛媛県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,栗整形外科病院,,
東京Ｄタワーホスピタル,東京都,令和5年度出来高算定病院,32.0,32.0,完全一致,1.0,東京Dタワーホスピタル,,
医療法人社団敬悠会副都心病院,東京都,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,医療法人社団敬悠会 副都心病院,,
小富士病院,福岡県,令和5年度出来高算定病院,0.0,39.0,完全一致,1.0,小富士病院,,
医療法人誠晴會ふきあげ納富病院,佐賀県,令和5年度出来高算定病院,30.0,30.0,完全一致,1.0,医療法人誠晴會ふきあげ納富病院,,
おおいた県南ホスピタル,大分県,令和5年度出来高算定病院,0.0,180.0,未結合,,,,
医療法人建悠会吉田病院,宮崎県,令和5年度出来高算定病院,0.0,307.0,未結合,,,,
なかがみ西病院,沖縄県,令和5年度出来高算定病院,0.0,94.0,完全一致,1.0,なかがみ西病院,,
社会福祉法人慈恵療育会相模原療育園,神奈川県,令和5年度出来高算定病院,0.0,60.0,サフィックス一致,0.9,相模原療育園,,
医療法人社団医聖会京都八幡病院,京都府,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人社団医聖会京都八幡病院,,
医療法人恒尚会兵田病院,大阪府,令和5年度出来高算定病院,0.0,81.0,完全一致,1.0,医療法人恒尚会兵田病院,,
社会医療法人財団天心堂へつぎ病院,大分県,令和6年度出来高算定病院,0.0,188.0,完全一致,1.0,社会医療法人財団天心堂へつぎ病院,,
医療法人昨雲会　飯塚病院附属有隣病院,福島県,令和6年度出来高算定病院,39.0,60.0,完全一致,1.0,医療法人昨雲会 飯塚病院附属有隣病院,,
医療法人　博仁会　志村大宮病院,茨城県,令和6年度出来高算定病院,0.0,178.0,サフィックス一致,0.9,志村大宮病院,,
公立つるぎ病院,石川県,令和6年度出来高算定病院,0.0,152.0,完全一致,1.0,公立つるぎ病院,,
医療法人マックシール巽病院,大阪府,令和6年度出来高算定病院,0.0,75.0,完全一致,1.0,医療法人マックシール巽病院,,
社会医療法人　ONE　FLAG　牧病院,大阪府,令和6年度出来高算定病院,0.0,75.0,完全一致,1.0,社会医療法人ONE FLAG牧病院,,
福岡県こども療育センター新光園,福岡県,令和5年度出来高算定病院,0.0,30.0,完全一致,1.0,福岡県こども療育センター新光園,,
医療法人社団　益豊会　今宿病院,福岡県,令和5年度出来高算定病院,0.0,140.0,未結合,,,,
医療法人聖真会　渭南病院,高知県,令和6年度出来高算定病院,0.0,105.0,サフィックス一致,0.9,渭南病院,,
うえの病院,福岡県,令和6年度出来高算定病院,0.0,36.0,完全一致,1.0,うえの病院,,
佐藤第一病院,大分県,令和6年度出来高算定病院,0.0,180.0,サフィックス一致,0.9,医療法人明徳会佐藤第一病院,,
肝属郡医師会立病院,鹿児島県,令和6年度出来高算定病院,0.0,150.0,完全一致,1.0,肝属郡医師会立病院,,
天草第一病院,熊本県,令和6年度出来高算定病院,0.0,110.0,完全一致,1.0,天草第一病院,,
いちき串木野市医師会立　脳神経外科センター,鹿児島県,令和6年度出来高算定病院,0.0,64.0,完全一致,1.0,いちき串木野市医師会立脳神経外科センター,,
社会医療法人聖医会サザン・リージョン病院,鹿児島県,令和6年度出来高算定病院,0.0,131.0,サフィックス一致,0.9,サザン・リージョン病院,,
長野県厚生農業協同組合連合会　下伊那厚生病院,長野県,令和6年度出来高算定病院,0.0,73.0,完全一致,1.0,長野県厚生農業協同組合連合会下伊那厚生病院,,
長崎県病院企業団長崎県精神医療センター,長崎県,令和5年度出来高算定病院,0.0,122.0,未結合,,,,
社会医療法人佐藤会弓削病院,熊本県,令和5年度出来高算定病院,0.0,160.0,未結合,,,,
阿梨花病院大津,熊本県,令和5年度出来高算定病院,20.0,60.0,完全一致,1.0,阿梨花病院大津,,
社会医療法人ましき会益城病院,熊本県,令和5年度出来高算定病院,0.0,198.0,未結合,,,,
天草市立栖本病院,熊本県,令和5年度出来高算定病院,24.0,44.0,完全一致,1.0,天草市立 栖本病院,,
国民健康保険天草市立新和病院,熊本県,令和5年度出来高算定病院,30.0,30.0,完全一致,1.0,国民健康保険 天草市立 新和病院,,
医療法人社団健仁会岩本病院,香川県,令和5年度出来高算定病院,0.0,73.0,完全一致,1.0,医療法人社団健仁会岩本病院,,
医療法人圭良会永生病院,香川県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,医療法人圭良会永生病院,,
医療法人弘征会西浦病院,宮崎県,令和5年度出来高算定病院,43.0,43.0,サフィックス一致,0.9,西浦病院,,
医療法人仁愛会横山病院,宮崎県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,医療法人仁愛会 横山病院,,
宮崎県立こども療育センター,宮崎県,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,宮崎県立こども療育センター,,
医療法人尚愛会西田橋小田原病院,鹿児島県,令和5年度出来高算定病院,0.0,51.0,未結合,,,,
やまびこ医療福祉センター,鹿児島県,令和5年度出来高算定病院,0.0,199.0,完全一致,1.0,やまびこ医療福祉センター,,
医療法人健生会あんびる病院,鹿児島県,令和5年度出来高算定病院,0.0,54.0,サフィックス一致,0.9,あんびる病院,,
北九州市立総合療育センター,福岡県,令和5年度出来高算定病院,0.0,125.0,完全一致,1.0,北九州市立総合療育センター,,
医療法人光佑会北川病院,長崎県,令和5年度出来高算定病院,48.0,48.0,完全一致,1.0,医療法人光佑会　北川病院,,
八戸城北病院,青森県,令和5年度出来高算定病院,60.0,100.0,完全一致,1.0,八戸城北病院,,
川口きゅうぽらリハビリテーション病院,埼玉県,令和5年度出来高算定病院,0.0,172.0,完全一致,1.0,川口きゅうぽらリハビリテーション病院,,
社会福祉法人恩賜財団済生会支部埼玉県済生会鴻巣病院,埼玉県,令和5年度出来高算定病院,0.0,379.0,未結合,,,,
医療法人社団忠尽会所沢肛門病院,埼玉県,令和5年度出来高算定病院,44.0,44.0,サフィックス一致,0.9,所沢肛門病院,,
医療法人金子病院,埼玉県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,医療法人金子病院,,
医療法人社団明生会三橋明生病院,千葉県,令和5年度出来高算定病院,40.0,90.0,完全一致,1.0,医療法人社団明生会 三橋明生病院,,
医療法人清栄会清瀬病院,大分県,令和5年度出来高算定病院,40.0,40.0,サフィックス一致,0.9,清瀬病院,,
医療法人幸秀会大江整形外科病院,宮崎県,令和5年度出来高算定病院,60.0,60.0,サフィックス一致,0.9,大江整形外科病院,,
医療法人志匠会練馬志匠会病院,東京都,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,医療法人志匠会　練馬志匠会病院,,
医療法人社団哲仁会井口病院,東京都,令和5年度出来高算定病院,53.0,53.0,完全一致,1.0,医療法人社団哲仁会 井口病院,,
医療法人社団博豊会博豊会東京脊椎病院,東京都,令和5年度出来高算定病院,55.0,78.0,サフィックス一致,0.9,博豊会　東京脊椎病院,,
むさしの救急病院,東京都,令和5年度出来高算定病院,132.0,132.0,完全一致,1.0,むさしの救急病院,,
鶴見大学歯学部附属病院,神奈川県,令和5年度出来高算定病院,32.0,32.0,完全一致,1.0,鶴見大学歯学部附属病院,,
医療法人徳洲会横浜日野病院,神奈川県,令和5年度出来高算定病院,0.0,257.0,未結合,,,,
公立種子島病院,鹿児島県,令和5年度出来高算定病院,62.0,62.0,完全一致,1.0,公立種子島病院,,
岩見沢市立栗沢病院,北海道,令和5年度出来高算定病院,0.0,85.0,完全一致,1.0,岩見沢市立栗沢病院,,
医療法人社団美松会生田病院,滋賀県,令和5年度出来高算定病院,99.0,149.0,完全一致,1.0,医療法人社団美松会生田病院,,
医療法人明生会賀茂病院,京都府,令和5年度出来高算定病院,0.0,59.0,完全一致,1.0,医療法人明生会賀茂病院,,
医療法人威徳壬生大路病院,京都府,令和5年度出来高算定病院,0.0,55.0,完全一致,1.0,医療法人威徳壬生大路病院,,
医療法人社団洛和会洛和会東寺南病院,京都府,令和5年度出来高算定病院,0.0,46.0,完全一致,1.0,医療法人社団洛和会洛和会東寺南病院,,
医療法人社団松仁会内田病院,京都府,令和5年度出来高算定病院,63.0,63.0,完全一致,1.0,医療法人社団松仁会内田病院,,
一般財団法人高雄病院,京都府,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,一般財団法人高雄病院,,
医療法人公仁会轟病院,長野県,令和5年度出来高算定病院,0.0,99.0,完全一致,1.0,医療法人公仁会轟病院,,
伊豆医療福祉センター,静岡県,令和5年度出来高算定病院,0.0,43.0,完全一致,1.0,伊豆医療福祉センター,,
医療法人長尾会ねや川サナトリウム,大阪府,令和5年度出来高算定病院,0.0,253.0,未結合,,,,
医療法人孝仁会澤田病院,大阪府,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人孝仁会澤田病院,,
医療法人仁志会西眼科病院,大阪府,令和5年度出来高算定病院,28.0,28.0,完全一致,1.0,医療法人仁志会西眼科病院,,
医療法人正幸会正幸会病院,大阪府,令和5年度出来高算定病院,56.0,56.0,完全一致,1.0,医療法人正幸会正幸会病院,,
寺下病院,大阪府,令和5年度出来高算定病院,29.0,72.0,サフィックス一致,0.9,医療法人邦英会寺下病院,,
医療法人社団五仁会住吉川病院,兵庫県,令和5年度出来高算定病院,45.0,45.0,完全一致,1.0,医療法人社団五仁会 住吉川病院,,
医療法人社団瀬田川病院,滋賀県,令和5年度出来高算定病院,0.0,282.0,完全一致,1.0,医療法人社団 瀬田川病院,,
南草津野村病院,滋賀県,令和5年度出来高算定病院,25.0,25.0,完全一致,1.0,南草津野村病院,,
和歌山県立こころの医療センター,和歌山県,令和5年度出来高算定病院,0.0,248.0,未結合,,,,
医療法人専仁会信生病院,鳥取県,令和5年度出来高算定病院,0.0,92.0,完全一致,1.0,医療法人専仁会信生病院,,
川崎医科大学高齢者医療センター,岡山県,令和5年度出来高算定病院,51.0,102.0,完全一致,1.0,川崎医科大学高齢者医療センター,,
医療法人社団楓会林病院,広島県,令和5年度出来高算定病院,51.0,51.0,完全一致,1.0,医療法人社団楓会 林病院,,
妹尾病院,広島県,令和5年度出来高算定病院,48.0,48.0,完全一致,1.0,妹尾病院,,
岩国市立美和病院,山口県,令和5年度出来高算定病院,52.0,52.0,完全一致,1.0,岩国市立美和病院,,
京都府立心身障害者福祉センター附属リハビリテーション病院,京都府,令和5年度出来高算定病院,25.0,25.0,完全一致,1.0,京都府立心身障害者福祉センター附属リハビリテーション病院,,
医療法人紀陽会田仲北野田病院,大阪府,令和5年度出来高算定病院,53.0,100.0,完全一致,1.0,医療法人紀陽会田仲北野田病院,,
医療法人社団みのり会三瓶病院,愛媛県,令和5年度出来高算定病院,0.0,47.0,サフィックス一致,0.9,三瓶病院,,
梼原町立国民健康保険梼原病院,高知県,令和5年度出来高算定病院,30.0,30.0,未結合,,,,
医療法人博腎会博腎会病院,福岡県,令和5年度出来高算定病院,35.0,35.0,完全一致,1.0,医療法人博腎会 博腎会病院,,
医療法人楽天堂廣橋病院,福岡県,令和5年度出来高算定病院,0.0,120.0,未結合,,,,
みどりの杜病院,福岡県,令和5年度出来高算定病院,0.0,30.0,完全一致,1.0,みどりの杜病院,,
療養介護事業所ひなた家,福岡県,令和5年度出来高算定病院,0.0,46.0,完全一致,1.0,療養介護事業所 ひなた家,,
医療法人社団五誓会あさひ病院,兵庫県,令和5年度出来高算定病院,100.0,100.0,サフィックス一致,0.9,あさひ病院,,
医療法人三宅会太子病院,兵庫県,令和5年度出来高算定病院,41.0,132.0,完全一致,1.0,医療法人三宅会太子病院,,
社会福祉法人新栄会滝野川病院,東京都,令和5年度出来高算定病院,0.0,59.0,完全一致,1.0,社会福祉法人新栄会滝野川病院,,
医療法人社団中央白報会白報会王子病院,東京都,令和5年度出来高算定病院,112.0,112.0,完全一致,1.0,医療法人社団中央白報会 白報会王子病院,,
医療法人財団厚生協会東京足立病院,東京都,令和5年度出来高算定病院,0.0,315.0,未結合,,,,
医療法人社団大和会大内病院,東京都,令和5年度出来高算定病院,0.0,228.0,未結合,,,,
医療法人社団成仁病院,東京都,令和5年度出来高算定病院,0.0,114.0,未結合,,,,
等潤メディカルプラザ病院,東京都,令和5年度出来高算定病院,0.0,20.0,サフィックス一致,0.9,社会医療法人社団慈生会　等潤メディカルプラザ病院,,
医療法人社団厚生会埼玉厚生病院,埼玉県,令和5年度出来高算定病院,55.0,108.0,完全一致,1.0,医療法人社団厚生会埼玉厚生病院,,
医療法人泰一会飯能整形外科病院,埼玉県,令和5年度出来高算定病院,57.0,57.0,完全一致,1.0,医療法人泰一会飯能整形外科病院,,
一般財団ライフ・プランニング・センター日野原記念ピースハウス病院,神奈川県,令和5年度出来高算定病院,0.0,22.0,サフィックス一致,0.9,日野原記念ピースハウス病院,,
社会福祉法人聖テレジア会鎌倉療育医療センター小さき花の園,神奈川県,令和5年度出来高算定病院,0.0,72.0,完全一致,1.0,社会福祉法人聖テレジア会鎌倉療育医療センター小さき花の園,,
公益財団法人積善会曽我病院,神奈川県,令和5年度出来高算定病院,0.0,285.0,未結合,,,,
医療法人仁愛会近藤病院,神奈川県,令和5年度出来高算定病院,0.0,111.0,完全一致,1.0,医療法人仁愛会近藤病院,,
医療法人裕徳会港南台病院,神奈川県,令和5年度出来高算定病院,77.0,77.0,完全一致,1.0,医療法人裕徳会 港南台病院,,
黒埼病院,新潟県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,黒埼病院,,
学校法人昭和医科大学烏山病院,東京都,令和5年度出来高算定病院,0.0,296.0,完全一致,1.0,昭和医科大学烏山病院,,
医療法人社団親和会杉並病院,東京都,令和5年度出来高算定病院,0.0,97.0,完全一致,1.0,医療法人社団親和会杉並病院,,
木村病院,福井県,令和5年度出来高算定病院,50.0,133.0,完全一致,1.0,木村病院,,
峡南医療センター企業団市川三郷病院,山梨県,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,峡南医療センター企業団 市川三郷病院,,
医療法人社団慈成会三枝病院,山梨県,令和5年度出来高算定病院,96.0,96.0,サフィックス一致,0.9,三枝病院,,
甲州市立勝沼病院,山梨県,令和5年度出来高算定病院,0.0,39.0,サフィックス一致,0.9,勝沼病院,,
長野県立総合リハビリテーションセンター,長野県,令和5年度出来高算定病院,80.0,80.0,完全一致,1.0,長野県立総合リハビリテーションセンター,,
医療法人愛和会愛和病院,長野県,令和5年度出来高算定病院,0.0,48.0,完全一致,1.0,医療法人愛和会 愛和病院,,
秋津療育園,東京都,令和5年度出来高算定病院,0.0,178.0,完全一致,1.0,秋津療育園,,
医療法人泰一会多摩北整形外科病院,東京都,令和5年度出来高算定病院,36.0,36.0,完全一致,1.0,医療法人泰一会　多摩北整形外科病院,,
重症心身障害児施設つばさ静岡,静岡県,令和5年度出来高算定病院,0.0,73.0,完全一致,1.0,重症心身障害児施設 つばさ静岡,,
静岡県立こころの医療センター,静岡県,令和5年度出来高算定病院,0.0,172.0,未結合,,,,
医療法人聖真会横山記念病院,愛知県,令和5年度出来高算定病院,56.0,56.0,完全一致,1.0,医療法人聖真会 横山記念病院,,
医療法人開生会かいせい病院,愛知県,令和5年度出来高算定病院,41.0,41.0,完全一致,1.0,医療法人開生会 かいせい病院,,
三重県立子ども心身発達医療センター,三重県,令和5年度出来高算定病院,0.0,110.0,完全一致,1.0,三重県立子ども心身発達医療センター,,
医療法人久居病院,三重県,令和5年度出来高算定病院,0.0,215.0,未結合,,,,
医療法人社団重仁会佐々木病院,富山県,令和5年度出来高算定病院,0.0,139.0,未結合,,,,
医療法人社団博仁会小池病院,石川県,令和5年度出来高算定病院,0.0,60.0,サフィックス一致,0.9,小池病院,,
宮城中央病院,宮城県,令和5年度出来高算定病院,58.0,58.0,完全一致,1.0,宮城中央病院,,
秋田県立医療療育センター,秋田県,令和5年度出来高算定病院,0.0,100.0,完全一致,1.0,秋田県立医療療育センター,,
医療法人五光会福島寿光会病院,福島県,令和5年度出来高算定病院,0.0,60.0,サフィックス一致,0.9,福島寿光会病院,,
猪苗代町立猪苗代病院,福島県,令和5年度出来高算定病院,65.0,65.0,完全一致,1.0,猪苗代町立猪苗代病院,,
社会福祉法人愛正会記念茨城福祉医療センター,茨城県,令和5年度出来高算定病院,0.0,129.0,完全一致,1.0,愛正会記念 茨城福祉医療センター,,
医療法人社団日鉱記念病院,茨城県,令和5年度出来高算定病院,51.0,51.0,完全一致,1.0,医療法人社団日鉱記念病院,,
医療法人社団養生館青葉病院,北海道,令和5年度出来高算定病院,0.0,52.0,完全一致,1.0,医療法人社団養生館青葉病院,,
豊浦町国民健康保険病院,北海道,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,豊浦町国民健康保険病院,,
社会医療法人恒貴会協和南病院,茨城県,令和5年度出来高算定病院,0.0,109.0,完全一致,1.0,社会医療法人恒貴会 協和南病院,,
医療法人鳳香会石本病院,茨城県,令和5年度出来高算定病院,45.0,45.0,完全一致,1.0,医療法人鳳香会石本病院,,
医療法人社団恵仁会筑波中央病院,茨城県,令和5年度出来高算定病院,0.0,96.0,完全一致,1.0,医療法人社団恵仁会 筑波中央病院,,
医療法人社団健正会茎崎アオイ病院,茨城県,令和5年度出来高算定病院,0.0,180.0,サフィックス一致,0.9,茎崎アオイ病院,,
医療法人社団愛和会前田病院,茨城県,令和5年度出来高算定病院,0.0,36.0,サフィックス一致,0.9,前田病院,,
医療法人圭明会原眼科病院,栃木県,令和5年度出来高算定病院,30.0,30.0,サフィックス一致,0.9,原眼科病院,,
社会福祉法人新生会みちのく療育園メディカルセンター,岩手県,令和5年度出来高算定病院,0.0,60.0,サフィックス一致,0.9,みちのく療育園メディカルセンター,,
岩手県立療育センター,岩手県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,岩手県立療育センター,,
医療法人社団寿山会田島病院,群馬県,令和5年度出来高算定病院,24.0,70.0,完全一致,1.0,医療法人社団 寿山会田島病院,,
医療法人社団明石会桐生整形外科病院,群馬県,令和5年度出来高算定病院,38.0,38.0,サフィックス一致,0.9,桐生整形外科病院,,
医療法人社団望星会望星病院,埼玉県,令和5年度出来高算定病院,0.0,58.0,完全一致,1.0,医療法人社団望星会望星病院,,
